url,title,description,date,icon,cluster
https://hackmd.io/,HackMD - Collaborative Markdown Knowledge Base,Best way to write and share your knowledge in markdown.,1527317387,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACWUlEQVQ4jW2SP0ssWRTEq07f7hFxcCIzRRFh/JMYLRsY+BHMxchAeCDvZS4mYyasusmCsBqJn8BAP4OhvP0EirYKLq0tzjJ3+tYG9m3eLnvie+rW+VURAO7u7n4/Pz//kue5T5LEkRRJeO/ZbrfD7u6uOef+yLJsC4ABCIgjKbu4uLhYWlpSt9v13W43zM/Ph4WFhTA7OxtWVlaq29tbv7e3p9fX198ksdfrWdx3AChJY2NjGA6HJAkAIIksyzAyMsLR0VG7vLwcFkXx9ejoCL1e7xsAApD7fEtKQlVVqgVIElVVKYSAwWDAVqtlp6envqqqr0VR/N3pdH6RRAcAZmaSmkUAMjOQpJlpfHwcq6urtry8jKIo/M3NzY6kv0j+Gk+waDv+CAAhBOV5zqurK62trcnMmCQJAISyLH+ODEDS6gWkaYrJycnIgSEEnZyc0Mz08PAg7z07nQ4PDg68JHMAaGYEAO89pqamcHx8jCRJIAkk6ZzT+/s7Nzc3kec5nXOs4/xkIMkkIcsy3N/fY2NjA2YWY4aZsaoqFUUB55yi8L9SqIuDmZkZHB4eNg5qyPj4+OD29raen59jTGocxBTSNMXj4yN2dnZAshGoI8Xb2xtqiJDEBqIkI4nhcIiJiQlsbW0pdiM68N5rf38fLy8vIhkdqIFY34p+v4/r62v+ABE1YA4Gg0a4dvB5QixQlmUqy1JnZ2eQ1NS6FlK73UaaptFB+BFiVpZlXGKr1cJ/R5L6/T6rqoqu0sigv7i4+Of6+vpPT09PipD+Z5qkpqenMTc3951k+Acgz0xgtaXyjAAAAABJRU5ErkJggg==",2
"https://vim.fandom.com/wiki/Indent_with_tabs,_align_with_spaces","Indent with tabs, align with spaces","Tabs vs. spaces for whitespace: which to use? Tabs are good for indentation because their width can be adjusted according to preference (:help 'tabstop'). On the other hand, spaces must be used to ensure text stays lined up across lines if tabstop is changed. Using the ""smart tabs"" scheme described below combines the strengths of both. This tip discusses indenting using tabs and spaces, including methods to allow tabstop adjustment, while maintaining textual alignment. See indenting source code",1650625741,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABhElEQVQ4jZ2RvUoDURCFv7lZd7EUjOIPiKWiWMRGUfABrMUYEQRLC23FwjcwIljZRYmdTyAoaQUR8Q3EwpUQLLKazd6x2E2MiX841XDunI85c6GtlGx/yMp5SHam/e2rMp2SowpjihzWWJ36BwBALJABe/wb5BtAs6Z/gwiAsuDUGFqKiErdRK8h7hXoWMvcNZgNl5PbbzZIG9C1FOYoJDUMqn/d5FMEgUWQA4Wev8b54gYyL8hAkq4lqTQhb+QmfwIgoxXM+h2SDpB0EPejlSZE0G1lzwA4Hf7ukNTmDTL3iE48x8ikr+/OQeCgMAj3DlDrBHRF0BuAgsw+xpoSa10RBJ8tSQTfGrQKwIuHLYxD2fuYKifai5eYtAq+bQKEy7rFFAAfwF6MEOUzUPGg4hHtZ7AXIw2cbzEF4bLeOG9jS6mRywqaB9IImPkHAGxpOI4BviJbLqdFSZTWv0og2WVB8kDfx7MCPCm65VI8a5hbbhCXgLoUz4AdoBzPKXHPTrsZ4B2EI5Im9WPGlAAAAABJRU5ErkJggg==",2
https://revealjs.com/,The HTML presentation framework | reveal.js,Documentation and demos for the open source reveal.js HTML presentation framework.,1649647578,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACfklEQVQ4jY1RTUuUYRQ953med+adwXGmDLEvMxgh+jaUxEVoUdGuFuM/KCqIIKIWtaiI2hRUQot2UgTppl2ryIhCQQv7WKSDSd9MZWqO4zvzPs9tMWq1MDxw4cI553LvucQsXm66vMQkvErZ0/dlw7nuIhbA1LumGvF9m1j+5BsAUB61Grb1hANbrt5Byau1v8xrV1QfdKownNz5/nn12f4UAtNoNNcL3OZY3Gybyofdybqjh3tab9KwrScEACqsTe7L3k7tH40XsqljflWxzqTHAmWNl0gaBUMEeQsdVWCABNFu0QNwfKT1jBeX5o8XmtqqMtlofOt3A6vgRBwCo8QSAlhCnLOknxQ10Vs1Onpix10VC3pNMhW5KDqEjjk4B4QzSty0J0oLQRFAAECJUFMjNNQ0K6eySiRLpW+oyckwzOdtKFYEECEFVKLAudhIgAQBiIiCoqnO5xqHjndS+NYAokXK9Kx43vlXPzeLgAhDbbqQ0aBEVNk0Ry4GZV07ui0AqMWZFoYCRMrrQ8hyYv+DSFkis/cpgCAlhJNZshzmv/XHTRKkOAJCQWBIsCIZ8XSE0FqBJMRR5q/l3NByTiICV9Je76rr9QKbNs5i79RksaWUix50IWI0NqorJE4jIoEmrYZzcIRYZ8EZF0jhVU2LifM8ic755Ac2XnscXTF2pebUYKEwvPSkjtldfnqcZvVkyfeN7/kaxYJFJE5M5Nz9VPrhAQAw0pXRyAAvGuwn+3XZ6ZEju4fNRPRp0ZTuxWp/Dq659WB82rpGNaMaCDYo6mYVsT8AoP/QIW9+g751l6r8ykRlfPvQ5/qOjmChL+TeNNXEop5LpJ/lAOA3pOIgHwTbksIAAAAASUVORK5CYII=",2
https://gin-gonic.com/docs/,Documentation,Gin Web Framework,1666234850,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABvklEQVQ4ja2SwU5TQRSGvzNz2woSTIpupAZjhSBGXZj4FiT6Au59C14FS+LKPS9A7AZ3JsYFCYkhELAsGptye+f8LtoLt0Vw459MMmfmzH/++c+BCiSZpHDT2traCvwH2I1Bp9P51G63n6fRKAkiZgCKMWowGOQ7Ozsftre39yfvVJUeALrd7g/dgm63e7y5ubl+rbgkA9jb2/vq7sXw9OTi4uysSFJyqUjuyaVcknZ3d78D8yVBVmGT3KOZxd+fP1KcncTGqzdYzKQ8p/7sRZxb2/DW8nILuAsMAMuYwljVyet3JInH6y2ELFhQrEdJisk9B7wUP0UgG3fpS7/Nrz5shEQWIC+w9WWz1YcGE2fLijMKEgBPW/uspCEvHz2ZeC3mawvAIpJb1cAZgjF+Dg45HZyTZxAtMEoFa0srrDYWr+VOEZS0b5s14r0FGvcfTE4TxLlQzZkl0OTS3d1Dfu4+Ordh/xCISCPiQs2zxlIQcq6GSFNtzGr1uRBCuNN+/7eZDwC1Wn2+3FMxUQAHBwffJMWUUgrBArqaVpcUQgxHR0e9ZrN50ev1ADT7pctKt8CrwRRBOdL/gpldSvsDMJz1fo98o1YAAAAASUVORK5CYII=",2
https://github.com/gin-contrib/multitemplate,GitHub - gin-contrib/multitemplate: This is a custom HTML render to support multi templates,This is a custom HTML render to support multi templates - GitHub - gin-contrib/multitemplate: This is a custom HTML render to support multi templates,1666235631,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABcUlEQVQ4jY3TvWpVURAF4LXvvUmuIkEsLLQKgiAW/qAkNvoUFraCDxMlqEUCghZaiyKCjU3wBewEBTUpFEvBGJEkfjZz8HAw4sCG2XvNmv+dJEFLCS7hAT5gGz9Kv4/F7CeYwUoROvlVp5NtLGPUJ44wh+f+Xx5XwFHn5E4BL3EN69jCBj6W/qqwF2W73JGX8BO7WK23CY5jWucYZgu7XbbfcW6S5EaS2apoF+Mke621T70WfUYrbDfJOMnBJNeDd9WobZzs9aU/mdbdsYBvxXmdqg82MbPvmP44G+NtOfg6StKSSHIoyYF+5L+QW5JpkvniTUZJNgs/kmSxtaaaOCxh0lqTZCnJ0Qq6EdyrdLaqjFP/yOA03mCvyl4LztflLp6U/hRnBsSHvX7t1OjPdgZrBVzArVqohZ6DE4N1hpXhKq/jPa7i4iD1Kb70nDwrzmho9KhndLiHzVefdrDabeVwPJ1+GTcx7b3N1S+8MuT8Bs9NR9kw0z0NAAAAAElFTkSuQmCC",2
https://gist.github.com/rickmak/e0d1cd776341f729d4bcebe7a4babedf,likenft-spec.md,"GitHub Gist: instantly share code, notes, and snippets.",1646664754,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABcUlEQVQ4jY3TvWpVURAF4LXvvUmuIkEsLLQKgiAW/qAkNvoUFraCDxMlqEUCghZaiyKCjU3wBewEBTUpFEvBGJEkfjZz8HAw4sCG2XvNmv+dJEFLCS7hAT5gGz9Kv4/F7CeYwUoROvlVp5NtLGPUJ44wh+f+Xx5XwFHn5E4BL3EN69jCBj6W/qqwF2W73JGX8BO7WK23CY5jWucYZgu7XbbfcW6S5EaS2apoF+Mke621T70WfUYrbDfJOMnBJNeDd9WobZzs9aU/mdbdsYBvxXmdqg82MbPvmP44G+NtOfg6StKSSHIoyYF+5L+QW5JpkvniTUZJNgs/kmSxtaaaOCxh0lqTZCnJ0Qq6EdyrdLaqjFP/yOA03mCvyl4LztflLp6U/hRnBsSHvX7t1OjPdgZrBVzArVqohZ6DE4N1hpXhKq/jPa7i4iD1Kb70nDwrzmho9KhndLiHzVefdrDabeVwPJ1+GTcx7b3N1S+8MuT8Bs9NR9kw0z0NAAAAAElFTkSuQmCC",2
https://pointieststick.com/2022/12/02/this-week-in-kde-custom-tiling/,This week in KDE: custom tiling,KWin got a very cool new feature this week: a built-in advanced tiling system that you can use to set up custom tile layouts and resize multiple adjacent windows at a time by dragging on the gaps b…,1672994878,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACtUlEQVQ4jaWTMUwTYRTH/3ecZ5FCS85ACBELrZi0CJIYMODAApsh6VQiIZ0kLjgxG2dcaGKqWwPl3EgIi0BICIEmGkBEbOBKwVQrYnpJ7wq0vWvvOeDVwuqbvuT7fu/93/99jwERg/J4d+CGYYyCqJevYNsBQCsaO2CYdbDsWwy5ouXP2UvwjDTJg7Z9Dqsn0u+glNeRTXkd2Ui/g3wOq4cHbWNGmixHmJKC8P6G284zc32NTYvHWWHqSMUnOVcAgE7Bwo0012CgoVIeXEkmommNMHz3wb8EM9Kk23bt0VxfY9Nw5EQwwavhd9q4Vx21mYdLPw6iir6GJ63PGYgxDw/a/vr4tjIRTQsAEIorBb/TxpXDobhSyA7d4QDgLK9nbs5+q9TA3GdhGKPepqrVFisvBLvq4L1lLUHBrjoEu+rwOZ0HACwdn5fuvE1VqzCMURZEvWMuwfbs429crWgCHfbrAIAXX2QAwHTivHrMJdhA1MvyFWx7m51tDcWVwuGpJvc33Cglmf1+elHtryrTm6kjFW12tpWvYNsvjdH0wOy/o/aispm0U7Bwh6eaXG4yqxWNnd20IXUKFi4UVwoAMO62ywAw0FApm234nTbu5T0BE9G00ClYuN20IWlFY4cFw6wHDmRlpLmmZFSLlRf8Thu3eJwVzDbG3XbZWc3JobhSGGmuQeBAVsAw64AY8/CipMcy+VT3QoKefjihIhGpOU3tXkgQL0p6kYiKRPT+5xl1LyQolsmneFHSIcY8LIZcUc2g4OBKMhHuqZfNkZWb9iamlEwN99TLgyvJhGZQ8GIviC5+4/Tepnv+cCuWyafUnKa+ltLEi5LOi5Juqopl8in3/OEWpvc2S1zpQMQgvB/gRUn3rSWXI79yG2pOU9WcpkZ+5TZ8a8llXpR0hPcD5Qzzv+v8B66ajnc8q7lqAAAAAElFTkSuQmCC",2
https://gist.github.com/evertrol/4b6fd05f3b6be2b331c60638b1af7101,Makefile cheat sheet,"Makefile cheat sheet. GitHub Gist: instantly share code, notes, and snippets.",1640270933,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABcUlEQVQ4jY3TvWpVURAF4LXvvUmuIkEsLLQKgiAW/qAkNvoUFraCDxMlqEUCghZaiyKCjU3wBewEBTUpFEvBGJEkfjZz8HAw4sCG2XvNmv+dJEFLCS7hAT5gGz9Kv4/F7CeYwUoROvlVp5NtLGPUJ44wh+f+Xx5XwFHn5E4BL3EN69jCBj6W/qqwF2W73JGX8BO7WK23CY5jWucYZgu7XbbfcW6S5EaS2apoF+Mke621T70WfUYrbDfJOMnBJNeDd9WobZzs9aU/mdbdsYBvxXmdqg82MbPvmP44G+NtOfg6StKSSHIoyYF+5L+QW5JpkvniTUZJNgs/kmSxtaaaOCxh0lqTZCnJ0Qq6EdyrdLaqjFP/yOA03mCvyl4LztflLp6U/hRnBsSHvX7t1OjPdgZrBVzArVqohZ6DE4N1hpXhKq/jPa7i4iD1Kb70nDwrzmho9KhndLiHzVefdrDabeVwPJ1+GTcx7b3N1S+8MuT8Bs9NR9kw0z0NAAAAAElFTkSuQmCC",2
https://store.kde.org/p/1187647/,Quarter Tiling,"Easy tiling script for KWin. Thanks to the simple tiling layouts and mouse-driven controls, the script should feel familiar to users with no prior experience with tiling window managers.The script...",1641271421,,2
https://shop.cutiepi.io/products/cutiepi-tablet,CutiePi - World's thinnest Raspberry Pi 4 tablet,"CutiePi is a Raspberry Pi 4 based tablet powered by the Compute Module 4. It has a 5000mAh li-po battery, an 8 inch multi-touch display with 1280 x 800 resolution, and a handle that also doubles as a stand. Processor: BCM2711, Quad-core Cortex-A72 (ARM v8) 64-bit SoC @ 1.5 GHz Raspberry Pi Compute Module 4, Wireless,",1651210908,,2
